city_id,up_ad_name,up_ad_code,cityname,adcode,citycode
110000_010,,,北京市,110000,010
110101_010,,,东城区,110101,010
110102_010,,,西城区,110102,010
110105_010,,,朝阳区,110105,010
110106_010,,,丰台区,110106,010
110107_010,,,石景山区,110107,010
110108_010,,,海淀区,110108,010
110109_010,,,门头沟区,110109,010
110111_010,,,房山区,110111,010
110112_010,,,通州区,110112,010
110113_010,,,顺义区,110113,010
110114_010,,,昌平区,110114,010
110115_010,,,大兴区,110115,010
110116_010,,,怀柔区,110116,010
110117_010,,,平谷区,110117,010
110118_010,,,密云区,110118,010
110119_010,,,延庆区,110119,010
120000_022,,,天津市,120000,022
120101_022,,,和平区,120101,022
120102_022,,,河东区,120102,022
120103_022,,,河西区,120103,022
120104_022,,,南开区,120104,022
120105_022,,,河北区,120105,022
120106_022,,,红桥区,120106,022
120110_022,,,东丽区,120110,022
120111_022,,,西青区,120111,022
120112_022,,,津南区,120112,022
120113_022,,,北辰区,120113,022
120114_022,,,武清区,120114,022
120115_022,,,宝坻区,120115,022
120116_022,,,滨海新区,120116,022
120117_022,,,宁河区,120117,022
120118_022,,,静海区,120118,022
120119_022,,,蓟州区,120119,022
130000_\N,,,河北省,130000,\N
130100_0311,,,石家庄市,130100,0311
130102_0311,,,长安区,130102,0311
130104_0311,,,桥西区,130104,0311
130105_0311,,,新华区,130105,0311
130107_0311,,,井陉矿区,130107,0311
130108_0311,,,裕华区,130108,0311
130109_0311,,,藁城区,130109,0311
130110_0311,,,鹿泉区,130110,0311
130111_0311,,,栾城区,130111,0311
130121_0311,,,井陉县,130121,0311
130123_0311,,,正定县,130123,0311
130125_0311,,,行唐县,130125,0311
130126_0311,,,灵寿县,130126,0311
130127_0311,,,高邑县,130127,0311
130128_0311,,,深泽县,130128,0311
130129_0311,,,赞皇县,130129,0311
130130_0311,,,无极县,130130,0311
130131_0311,,,平山县,130131,0311
130132_0311,,,元氏县,130132,0311
130133_0311,,,赵县,130133,0311
130181_0311,,,辛集市,130181,0311
130183_0311,,,晋州市,130183,0311
130184_0311,,,新乐市,130184,0311
130200_0315,,,唐山市,130200,0315
130202_0315,,,路南区,130202,0315
130203_0315,,,路北区,130203,0315
130204_0315,,,古冶区,130204,0315
130205_0315,,,开平区,130205,0315
130207_0315,,,丰南区,130207,0315
130208_0315,,,丰润区,130208,0315
130209_0315,,,曹妃甸区,130209,0315
130224_0315,,,滦南县,130224,0315
130225_0315,,,乐亭县,130225,0315
130227_0315,,,迁西县,130227,0315
130229_0315,,,玉田县,130229,0315
130281_0315,,,遵化市,130281,0315
130283_0315,,,迁安市,130283,0315
130284_0315,,,滦州市,130284,0315
130300_0335,,,秦皇岛市,130300,0335
130302_0335,,,海港区,130302,0335
130303_0335,,,山海关区,130303,0335
130304_0335,,,北戴河区,130304,0335
130306_0335,,,抚宁区,130306,0335
130321_0335,,,青龙满族自治县,130321,0335
