origin_id,destination_id,train_plan_train_number,train_plan_train_name,train_plan_duration,train_plan_cost,train_plan_origin_station,train_plan_destination_station,origin_type,destination_type
B0FFLHQPEP,B0FFF6PXF2,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B0FFLHQPEP,B0214082PH,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B0FFLHQPEP,B0FFJANJXQ,101007268799,G1554(广州南-青岛),689.0,969.0,广州南,青岛西,火车站,火车站
B00140VAP3,B0FFF6PXF2,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B00140VAP3,B0214082PH,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B00140VAP3,B0FFJANJXQ,101007268799,G1554(广州南-青岛),689.0,969.0,广州南,青岛西,火车站,火车站
B00140TY64,B0FFF6PXF2,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B00140TY64,B0214082PH,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B00140TY64,B0FFJANJXQ,101007268799,G1554(广州南-青岛),689.0,969.0,广州南,青岛西,火车站,火车站
B00140UERW,B0FFF6PXF2,101007268279,G2078(广州南-青岛北),715.0,1019.0,广州北,青岛北,火车站,火车站
B00140UERW,B0214082PH,101007268279,G2078(广州南-青岛北),715.0,1019.0,广州北,青岛北,火车站,火车站
B00140UERW,B0FFJANJXQ,101007268799,G1554(广州南-青岛),689.0,969.0,广州南,青岛西,火车站,火车站
B00140WEW0,B0FFF6PXF2,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B00140WEW0,B0214082PH,101013098767,G566(广州南-青岛北),531.0,1071.5,广州南,青岛北,火车站,火车站
B00140WEW0,B0FFJANJXQ,101007268799,G1554(广州南-青岛),689.0,969.0,广州南,青岛西,火车站,火车站
B0FFLHQPEP,B017B02U7H,101007260324,G518(广州白云-西安北),368.0,754.0,广州白云,洛阳龙门,火车站,火车站
