accommodation_id,accommodation_name,accommodation_address,accommodation_type,city_name,avg_price,rating,feature_hotel_type,longitude,latitude,citycode
B0017091IQ,洪崖洞大酒店,沧白路56号洪崖洞天成巷洪崖洞民俗风貌区6-11层,四星级酒店,重庆市,480,4.5,"四星级酒店,亲子时刻",106.579753,29.562438,23
B0G17DVKT5,维也纳国际酒店(重庆北站店),泰山大道东段58号B区5-1至5-25,商务酒店,重庆市,320,4.7,商务酒店,106.550288,29.603943,23
B0FFLOOWVY,汉庭酒店(重庆西站站前广场店),凤中路168号渝铁3号楼附5号,经济型连锁酒店,重庆市,160,4.6,经济型,106.43768,29.503191,23
B001790ZEH,如家商旅酒店(重庆解放碑洪崖洞步行街店),沧白路52号(洪崖洞千厮门大桥旁),经济型连锁酒店,重庆市,220,4.6,商务酒店,106.580853,29.562624,23
B0GK35UJV5,维也纳国际酒店(南川区万达广场店),隆化大道文体路16号滨湖公馆,酒店,重庆市,320,4.9,舒适型,107.083092,29.162074,23
B0KU3HE7YB,你好酒店(重庆解放碑步行街店),新华路337号(小什字地铁站5A口步行490米),酒店,重庆市,220,4.8,舒适型,106.579308,29.554484,23
B0FFIRJ6Q3,维也纳国际酒店(重庆冉家坝店),龙山街道松石大道469号时光城2幢,四星级酒店,重庆市,380,4.6,高档型,106.491806,29.580047,23
B0FFLJPFDR,丽枫酒店(重庆解放碑步行街洪崖洞店),五一路99号协信星光妙塘F3层,商务酒店,重庆市,320,4.7,商务酒店,106.58104,29.558571,23
B0GKO58UZ3,重庆五登酒店(南坪步行街店),万寿路18号,酒店,重庆市,420,4.7,高档型,106.561351,29.526878,23
B0H6CZYYWT,维也纳酒店(重庆西站广场店),凤中路168号渝铁2号楼附6号,酒店,重庆市,320,4.4,舒适型,106.437185,29.505805,23
B001702EB9,银河大酒店(重庆解放碑中心店),大同路49号,四星级酒店,重庆市,380,4.5,"四星级酒店,会议酒店",106.573134,29.556884,23
B00190CTXY,南京香樟华苹酒店,汤山街道温泉路12号,酒店,南京市,3800,4.8,"豪华型,亲子时刻",119.048501,32.044482,25
B001906NWK,湖滨金陵饭店,佳湖东路8号,经济型连锁酒店,南京市,850,4.8,"豪华型,休闲度假",118.81704,31.939989,25
B0FFGZZNE9,南京隽恒酒店,西康路1号,酒店,南京市,480,4.7,豪华型,118.763078,32.054438,25
B0FFFA019K,南京金奥国际酒店,江东中路333号(元通地铁站5号口步行370米),五星级酒店,南京市,1200,4.7,"豪华型,亲子时刻",118.724743,31.998041,25
B0FFGH9O3F,南京景枫万豪酒店,双龙大道1519号(百家湖地铁站2号口步行480米),五星级酒店,南京市,850,4.6,五星级酒店,118.822252,31.936716,25
B0FFFAP2LA,南京国际青年会议酒店,邺城路8号,五星级酒店,南京市,850,4.8,豪华型,118.708546,31.990599,25
B00190BBW7,城市名人酒店,中山北路30号,五星级酒店,南京市,550,4.2,"豪华型,亲子时刻",118.780814,32.062664,25
B001909VEA,明发珍珠泉大酒店,珍珠街178-1号,五星级酒店,南京市,480,4.8,"五星级酒店,亲子时刻",118.662326,32.119729,25
B00190BB39,紫金山庄,环陵路18号,五星级酒店,南京市,1200,4.8,"豪华型,亲子时刻",118.878091,32.075008,25
B0JB9PWFWL,塔酥文德民宿(海珠广场店),文德南路14号,酒店,广州市,220,4.2,民宿,113.272922,23.116028,20
B023D0S23K,且客酒店(南湖店),城南路993号中纬大厦1层,经济型连锁酒店,嘉兴市,150,4.3,经济型,120.736534,30.739911,573
B0KK7NJT9U,梦幻海宿,观波路阳光城翡丽海岸2期7幢2309室,酒店,厦门市,180,4.5,民宿,118.136097,24.611111,592
B0FFFUE880,fc club尚悠海陆空俱乐部,观音山梦幻海岸度假区沙滩B区1号,度假村,厦门市,450,3.9,水上活动中心,118.199313,24.489549,592
B02500S4JO,悦庭酒店(七星路店),仙岳路228-232号共和大厦B栋,酒店,厦门市,220,4.2,经济型,118.09736,24.488393,592
B0FFHHGCEY,e佳连锁酒店(厦门总店),湖滨南路富山女人街815号之1二楼,快捷酒店,厦门市,120,4.0,"快捷酒店,商旅住宿",118.118982,24.477283,592
B025004LL9,7天优品酒店(厦门机场店),枋湖北三里68号(湖里创新园地铁站2号口步行340米),经济型连锁酒店,厦门市,150,4.6,"经济型,7天特惠",118.15543,24.520488,592
B0G0P9IOI7,7天优品酒店(厦门机场翔鹭店),长虹路198号寨上2组10号综合楼,经济型连锁酒店,厦门市,150,4.1,"经济型,7天特惠",118.102725,24.522775,592
