restaurant_id,restaurant_name,restaurant_address,restaurant_type,city_name,avg_price,rating,business_hours,recommended_food,queue_time,consumption_time,longitude,latitude,citycode
B0FFKPFE5M,肯德基(美龄宫店),石象路7号中山陵园风景区9号美龄宫对面驿站,肯德基,南京市,54.0,4.4,08:00-19:00,"柠檬茶,蛋挞,柠檬,黄油,汉堡,西式快餐",10,25.0,118.845103,32.047173,25
B0FFF5VX2P,章云板鸭(总店),升州路228号(近中山南路三山街),卤味店,南京市,25.0,4.6,07:00-21:00,"烤鸭,盐水鸭,鸭翅膀,鸭四件,板鸭,鸭胗,酱鸭,酱牛肉,黄金素鸡,秘制蜂蜜花生",5,15.0,118.778048,32.025535,25
B0FFIPSYY6,聚宝南京盐水鸭(南京总店),新姚家巷1号(夫子庙地铁站3号口步行220米),餐厅,南京市,18.0,4.8,08:00-22:30,"传统老卤盐水鸭,招牌盐水鸭,南京传统烤鸭,五香鸭翅,挂花味盐水鸭,招牌酱板鸭,烤鸭,盐水鸭,单人餐,咸水鸭",25,15.0,118.792935,32.023329,25
B0FFF54MRG,回味鸭血粉丝汤(新百店),中山南路3号南京新百A座B1层,中餐厅,南京市,22.0,4.5,09:00-21:30,"春卷,凉粉,蒸饺,拌饭,咖喱鸡肉饭,梅菜包,手抓饼,绿茶饼,鱿鱼,鸭血粉丝汤",15,25.0,118.784481,32.040263,25
B0K2BHA4IJ,徐家鸭子店南京南南广场店,东山街道竹翠路8号都荟天地城C-1幢103室,卤味店,南京市,30.0,4.8,07:30-20:00,"鸭肉,烤鸭,卤菜",5,15.0,118.796717,31.963617,25
B0FFM5ZVVT,寻魏·金陵十二菜(总统府店),太平北路68号1912商业街7栋,中餐厅,南京市,222.0,4.6,11:00-13:30,"寻魏功夫汤,雨花茶芥末味虾球,贾府烧海参,糟鹅掌鸭信,金陵拆烩鲢鱼头配六鲍,蟹粉嫩豆腐,金陵盐水鸭,炒饭,牛肉,特色菜",25,90.0,118.795895,32.045249,25
B001907HHM,章云板鸭店(评事街店),评事街208号,餐厅,南京市,33.0,4.7,07:00-19:00,"烤鸭,盐水鸭,鸭四件,鸭爪,鸭翅,素鸡,牛肉,鸭胗,当地特色美食",5,15.0,118.780328,32.030101,25
B0FFF5VS75,韩复兴(湖北路店),湖北路90号(青春广场地铁站1号口步行410米),卤味店,南京市,25.0,4.7,07:30-21:00,"盐水鸭,鸭油烧饼,鸡翅,鸭肠,酱牛肉,鸭肫,鸭头,鸭心,鸡爪,鸭翅",5,15.0,118.776994,32.067991,25
B0JURS5FS3,金虹板鸭(夫子庙店),建康路160号(夫子庙地铁站3号口步行160米),餐厅,南京市,23.0,4.7,08:00-23:00,"五香牛肉,五香鸭翅,五香鸭爪,老卤盐水鸭,老南京脆皮烤鸭,老卤鸭头,老卤鸭胗,烤鸭,熟食",5,15.0,118.7928,32.023528,25
B0K3SUK3QM,回味鸭血粉丝汤(瞻园路店),夫子庙瞻园路7号,中餐厅,南京市,14.0,4.6,08:00-23:00,"番茄蛋仔面,雪菜肉丝面,鸭血馄饨,鸭血粉丝汤,鲜肉汤包,黑椒汁鸡排煎蛋饭,招牌粉丝汤,招牌鸭血粉丝汤,虾仁汤包,回味拌饭",5,20.0,118.788353,32.018996,25
