transport_id,transport_name,transport_address,transport_type,city_name,open_time,close_time,longitude,latitude,citycode,distance_type
B0FFLHQPEP,广州白云站,石槎路与潭涌路交叉口东南侧(石潭地铁站出入口旁),交通设施服务;火车站;火车站,广州市,04:10,23:00,113.246341,23.19091,020,长途
B00140VAP3,广州南站,南站北路,交通设施服务;火车站;火车站,广州市,05:00,24:00,113.269097,22.988344,020,长途
B00140TY64,广州东站,东站路1号,交通设施服务;火车站;火车站,广州市,05:20,24:20,113.324964,23.150588,020,长途
B00140UERW,广州北站,站前路1号,交通设施服务;火车站;火车站,广州市,05:30,23:20,113.203846,23.377273,020,长途
B00140WEW0,广州站,流花街道环市西路159号,交通设施服务;火车站;火车站,广州市,04:20,23:50,113.257331,23.149243,020,长途
B0FFF6PXF2,青岛北站,静乐路1号(青岛北站地铁站F口步行70米),交通设施服务;火车站;火车站,青岛市,04:30,23:00,120.375693,36.168977,0532,长途
B0214082PH,青岛站,泰安路2号(青岛站地铁站B口旁),交通设施服务;火车站;火车站,青岛市,04:30,23:00,120.312786,36.064812,0532,长途
B0FFJANJXQ,青岛西站,铁山街道海西三路,交通设施服务;火车站;火车站,青岛市,00:00,23:59,119.956267,35.901455,0532,长途
B017B02U7H,洛阳龙门站,通衢路19号,交通设施服务;火车站;火车站,洛阳市,,,112.456291,34.593842,0379,长途
B017B011IO,洛阳站,玄武门大街,交通设施服务;火车站;火车站,洛阳市,,,112.436284,34.685924,0379,长途
B0H6XMWL0S,北京丰台站,正阳大街4号(丰台站地铁站C2东南口步行170米),交通设施服务;火车站;火车站,北京市,00:00,23:59,116.301463,39.850889,010,长途
B000A83M61,北京西站,莲花池东路118号,交通设施服务;火车站;火车站,北京市,00:00,23:59,116.322033,39.894912,010,长途
B000A9S5OF,北京朝阳站,东风乡姚家园北路附近,交通设施服务;火车站;火车站,北京市,05:00,23:00,116.509202,39.944863,010,长途
B000A83AJN,北京南站,永外大街车站路12号,交通设施服务;火车站;火车站,北京市,05:30,24:00,116.378517,39.865246,010,长途
B000A83C36,北京站,毛家湾胡同甲13号,交通设施服务;火车站;火车站,北京市,00:00,23:59,116.427354,39.90283,010,长途
B000A833V8,北京北站,西直门北大街北滨河路1号,交通设施服务;火车站;火车站,北京市,05:00,21:30,116.353464,39.944699,010,长途
B0200172JB,苏州站,苏站路27号(苏州火车站地铁站1B口步行70米),交通设施服务;火车站;火车站,苏州市,00:00,23:59,120.61087,31.329683,0512,长途
B020015V08,苏州北站,城通路,交通设施服务;火车站;火车站,苏州市,05:30,24:30,120.644306,31.421546,0512,长途
